"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "JSON", "Inno Setup", "PostCSS", "HTML", "JavaScript", "Batch", "XML", "PowerShell", "TypeScript JSX", "SCSS", "comment", "blank", "total"
"d:\JavaScript\zapret-gui\build.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 83
"d:\JavaScript\zapret-gui\core\general (ALT).bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 4, 26
"d:\JavaScript\zapret-gui\core\general (ALT10).bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 4, 26
"d:\JavaScript\zapret-gui\core\general (ALT11).bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 4, 26
"d:\JavaScript\zapret-gui\core\general (ALT2).bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 4, 26
"d:\JavaScript\zapret-gui\core\general (ALT3).bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 4, 26
"d:\JavaScript\zapret-gui\core\general (ALT4).bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 4, 26
"d:\JavaScript\zapret-gui\core\general (ALT5).bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 2, 4, 24
"d:\JavaScript\zapret-gui\core\general (ALT6).bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 4, 26
"d:\JavaScript\zapret-gui\core\general (ALT7).bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 4, 26
"d:\JavaScript\zapret-gui\core\general (ALT8).bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 4, 26
"d:\JavaScript\zapret-gui\core\general (ALT9).bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 4, 26
"d:\JavaScript\zapret-gui\core\general (FAKE TLS AUTO ALT).bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 4, 26
